Sr. No.,Item Name,Quantity,UOM,Brand,RM,RM Currency,MF,MF Currency,Unit Price (₹),Extended Price (₹),Tax,Total Price (₹),Baseline Price (₹)
554,Drill Machine,20,tons,XYZ,685,INR,559,INR,1609,32180,12 %,36041.6,37007.0
555,SPARX 12V motor,96,tons,ABC,740,INR,525,INR,1485,142560,12 %,159667.2,163944.0
556,SPARX 12V motor,62,litres,ABC,551,INR,516,INR,1475,91450,12 %,102424.0,105167.5
557,SPARX 12V motor,79,tons,MKT,581,INR,832,INR,1826,144254,12 %,161564.48,165892.1
558,Drill Machine,11,litres,XYZ,897,INR,894,INR,2236,24596,12 %,27547.52,28285.4
559,Drill Machine,70,crystals,XYZ,555,INR,942,INR,1976,138320,12 %,154918.4,159068.0
560,TITAN 25mm wrench,13,tons,AKZ,809,INR,529,INR,1664,21632,12 %,24227.84,24876.8
561,Air Pump,16,litres,ABC,766,INR,726,INR,1724,27584,12 %,30894.08,31721.6
562,LED Panel 250,96,each,MKT,690,INR,625,INR,1739,166944,12 %,186977.28,191985.6
563,Air Pump,90,tons,ABC,890,INR,699,INR,2015,181350,12 %,203112.0,208552.5
564,Drill Machine,7,litres,MNO,913,INR,862,INR,2200,15400,12 %,17248.0,17710.0
565,Air Pump,80,litres,ABC,824,INR,630,INR,1840,147200,12 %,164864.0,169280.0
566,Air Pump,13,litres,AKZ,914,INR,765,INR,1838,23894,12 %,26761.28,27478.1
567,LED Panel 250,41,tons,MNO,536,INR,814,INR,1726,70766,12 %,79257.92,81380.9
568,TITAN 25mm wrench,35,each,MKT,933,INR,834,INR,2086,73010,12 %,81771.2,83961.5
569,TITAN 25mm wrench,18,crystals,XYZ,819,INR,674,INR,1923,34614,12 %,38767.68,39806.1
570,TITAN 25mm wrench,77,litres,ABC,602,INR,867,INR,1868,143836,12 %,161096.32,165411.4
571,TITAN 25mm wrench,88,litres,AKZ,886,INR,901,INR,1974,173712,12 %,194557.44,199768.8
572,SPARX 12V motor,11,each,XYZ,940,INR,740,INR,1888,20768,12 %,23260.16,23883.2
573,SPARX 12V motor,50,crystals,AKZ,647,INR,869,INR,1913,95650,12 %,107128.0,109997.5
574,TITAN 25mm wrench,57,tons,MKT,619,INR,730,INR,1561,88977,12 %,99654.24,102323.55
575,LED Panel 250,92,litres,MKT,687,INR,634,INR,1422,130824,12 %,146522.88,150447.6
576,TITAN 25mm wrench,49,tons,MNO,657,INR,912,INR,1961,96089,12 %,107619.68,110502.35
577,Drill Machine,49,crystals,XYZ,744,INR,930,INR,1800,88200,12 %,98784.0,101430.0
578,LED Panel 250,20,litres,XYZ,891,INR,578,INR,1667,33340,12 %,37340.8,38341.0
579,Air Pump,95,each,MNO,593,INR,707,INR,1604,152380,12 %,170665.6,175237.0
580,SPARX 12V motor,7,crystals,AKZ,745,INR,785,INR,1694,11858,12 %,13280.96,13636.7
581,SPARX 12V motor,96,crystals,MKT,554,INR,775,INR,1538,147648,12 %,165365.76,169795.2
582,TITAN 25mm wrench,91,tons,XYZ,525,INR,976,INR,1751,159341,12 %,178461.92,183242.15
583,LED Panel 250,33,each,AKZ,703,INR,599,INR,1694,55902,12 %,62610.24,64287.3
584,Drill Machine,11,crystals,MKT,958,INR,532,INR,1814,19954,12 %,22348.48,22947.1
585,LED Panel 250,88,crystals,AKZ,685,INR,546,INR,1704,149952,12 %,167946.24,172444.8
586,Drill Machine,41,litres,MNO,660,INR,683,INR,1777,72857,12 %,81599.84,83785.55
587,TITAN 25mm wrench,17,tons,MNO,924,INR,862,INR,2208,37536,12 %,42040.32,43166.4
588,Drill Machine,29,crystals,AKZ,599,INR,676,INR,1644,47676,12 %,53397.12,54827.4
589,SPARX 12V motor,92,tons,MKT,640,INR,688,INR,1525,140300,12 %,157136.0,161345.0
590,Air Pump,10,crystals,AKZ,840,INR,667,INR,1903,19030,12 %,21313.6,21884.5
591,Air Pump,67,tons,MNO,939,INR,628,INR,1783,119461,12 %,133796.32,137380.15
592,Air Pump,21,each,MKT,587,INR,952,INR,1673,35133,12 %,39348.96,40402.95
593,Air Pump,27,tons,MKT,507,INR,900,INR,1520,41040,12 %,45964.8,47196.0
594,SPARX 12V motor,51,litres,XYZ,725,INR,954,INR,1985,101235,12 %,113383.2,116420.25
595,Air Pump,71,crystals,AKZ,641,INR,668,INR,1790,127090,12 %,142340.8,146153.5
596,Air Pump,23,crystals,MNO,696,INR,785,INR,1795,41285,12 %,46239.2,47477.75
597,Drill Machine,81,litres,MKT,953,INR,770,INR,2016,163296,12 %,182891.52,187790.4
598,SPARX 12V motor,83,crystals,MNO,653,INR,565,INR,1591,132053,12 %,147899.36,151860.95
599,Drill Machine,73,crystals,AKZ,547,INR,797,INR,1690,123370,12 %,138174.4,141875.5
600,LED Panel 250,52,each,MNO,854,INR,825,INR,2066,107432,12 %,120323.84,123546.8
601,Air Pump,18,litres,MNO,573,INR,895,INR,1831,32958,12 %,36912.96,37901.7
602,SPARX 12V motor,26,each,AKZ,629,INR,646,INR,1433,37258,12 %,41728.96,42846.7
603,LED Panel 250,41,each,AKZ,778,INR,934,INR,1889,77449,12 %,86742.88,89066.35
604,TITAN 25mm wrench,68,litres,MKT,637,INR,796,INR,1562,106216,12 %,118961.92,122148.4
605,LED Panel 250,74,crystals,MNO,691,INR,613,INR,1642,121508,12 %,136088.96,139734.2
606,Drill Machine,9,tons,ABC,679,INR,576,INR,1707,15363,12 %,17206.56,17667.45
607,SPARX 12V motor,71,litres,ABC,735,INR,940,INR,1961,139231,12 %,155938.72,160115.65
608,SPARX 12V motor,32,each,ABC,761,INR,655,INR,1585,50720,12 %,56806.4,58328.0
609,Air Pump,32,crystals,XYZ,764,INR,927,INR,1865,59680,12 %,66841.6,68632.0
610,Drill Machine,68,litres,ABC,890,INR,786,INR,1839,125052,12 %,140058.24,143809.8
611,Air Pump,50,tons,ABC,970,INR,860,INR,2217,110850,12 %,124152.0,127477.5
612,SPARX 12V motor,86,crystals,MNO,963,INR,875,INR,2079,178794,12 %,200249.28,205613.1
613,SPARX 12V motor,59,litres,MNO,710,INR,971,INR,2063,121717,12 %,136323.04,139974.55
614,SPARX 12V motor,11,tons,XYZ,799,INR,711,INR,1819,20009,12 %,22410.08,23010.35
615,SPARX 12V motor,39,crystals,AKZ,864,INR,938,INR,2198,85722,12 %,96008.64,98580.3
616,LED Panel 250,43,tons,ABC,868,INR,799,INR,1833,78819,12 %,88277.28,90641.85
617,TITAN 25mm wrench,95,tons,XYZ,903,INR,534,INR,1921,182495,12 %,204394.4,209869.25
618,SPARX 12V motor,80,tons,MKT,655,INR,727,INR,1635,130800,12 %,146496.0,150420.0
619,Drill Machine,47,each,MNO,689,INR,737,INR,1878,88266,12 %,98857.92,101505.9
620,Drill Machine,51,each,XYZ,798,INR,741,INR,1889,96339,12 %,107899.68,110789.85
621,Air Pump,38,litres,AKZ,990,INR,526,INR,1939,73682,12 %,82523.84,84734.3
622,TITAN 25mm wrench,79,crystals,XYZ,749,INR,525,INR,1594,125926,12 %,141037.12,144814.9
623,LED Panel 250,16,crystals,XYZ,683,INR,774,INR,1756,28096,12 %,31467.52,32310.4
624,TITAN 25mm wrench,7,crystals,MKT,925,INR,665,INR,1757,12299,12 %,13774.88,14143.85
625,SPARX 12V motor,64,each,MNO,997,INR,575,INR,1815,116160,12 %,130099.2,133584.0
626,TITAN 25mm wrench,78,each,ABC,764,INR,931,INR,2094,163332,12 %,182931.84,187831.8
627,LED Panel 250,55,tons,MKT,826,INR,915,INR,2199,120945,12 %,135458.4,139086.75
628,Air Pump,41,tons,ABC,620,INR,570,INR,1613,66133,12 %,74068.96,76052.95
629,SPARX 12V motor,1,litres,XYZ,791,INR,692,INR,1894,1894,12 %,2121.28,2178.1
630,LED Panel 250,2,tons,ABC,976,INR,662,INR,1824,3648,12 %,4085.76,4195.2
631,TITAN 25mm wrench,64,litres,XYZ,971,INR,520,INR,1888,120832,12 %,135331.84,138956.8
632,SPARX 12V motor,7,crystals,AKZ,736,INR,626,INR,1701,11907,12 %,13335.84,13693.05
633,TITAN 25mm wrench,71,crystals,MKT,703,INR,635,INR,1457,103447,12 %,115860.64,118964.05
634,SPARX 12V motor,29,crystals,ABC,549,INR,973,INR,1794,52026,12 %,58269.12,59829.9
635,SPARX 12V motor,36,each,MNO,767,INR,759,INR,1768,63648,12 %,71285.76,73195.2
636,Air Pump,46,litres,XYZ,815,INR,635,INR,1592,73232,12 %,82019.84,84216.8
637,LED Panel 250,59,each,AKZ,691,INR,853,INR,1679,99061,12 %,110948.32,113920.15
638,SPARX 12V motor,98,tons,MNO,621,INR,873,INR,1933,189434,12 %,212166.08,217849.1
639,SPARX 12V motor,29,each,MNO,862,INR,513,INR,1606,46574,12 %,52162.88,53560.1
640,TITAN 25mm wrench,15,crystals,ABC,503,INR,995,INR,1958,29370,12 %,32894.4,33775.5
641,Drill Machine,14,litres,MNO,535,INR,820,INR,1759,24626,12 %,27581.12,28319.9
642,LED Panel 250,5,litres,MNO,578,INR,690,INR,1754,8770,12 %,9822.4,10085.5
643,LED Panel 250,4,tons,MNO,825,INR,709,INR,1856,7424,12 %,8314.88,8537.6
644,Drill Machine,65,tons,MKT,643,INR,711,INR,1588,103220,12 %,115606.4,118703.0
645,TITAN 25mm wrench,73,tons,XYZ,879,INR,936,INR,2225,162425,12 %,181916.0,186788.75
646,LED Panel 250,87,tons,ABC,669,INR,555,INR,1410,122670,12 %,137390.4,141070.5
647,Drill Machine,13,tons,MKT,924,INR,732,INR,1840,23920,12 %,26790.4,27508.0
648,SPARX 12V motor,83,litres,AKZ,805,INR,671,INR,1932,160356,12 %,179598.72,184409.4
649,LED Panel 250,47,litres,AKZ,741,INR,782,INR,2004,94188,12 %,105490.56,108316.2
650,LED Panel 250,36,each,XYZ,650,INR,611,INR,1368,49248,12 %,55157.76,56635.2
651,Drill Machine,95,litres,AKZ,771,INR,620,INR,1644,156180,12 %,174921.6,179607.0
652,SPARX 12V motor,2,crystals,MKT,783,INR,753,INR,1639,3278,12 %,3671.36,3769.7
653,LED Panel 250,90,crystals,MNO,792,INR,714,INR,1818,163620,12 %,183254.4,188163.0
654,Drill Machine,73,litres,MNO,652,INR,656,INR,1707,124611,12 %,139564.32,143302.65
655,Drill Machine,71,tons,MNO,634,INR,901,INR,1858,131918,12 %,147748.16,151705.7
656,Drill Machine,1,each,XYZ,608,INR,801,INR,1809,1809,12 %,2026.08,2080.35
657,Drill Machine,24,crystals,ABC,833,INR,789,INR,1754,42096,12 %,47147.52,48410.4
658,TITAN 25mm wrench,97,litres,ABC,842,INR,705,INR,1986,192642,12 %,215759.04,221538.3
659,TITAN 25mm wrench,79,crystals,MNO,631,INR,570,INR,1452,114708,12 %,128472.96,131914.2
660,SPARX 12V motor,90,crystals,AKZ,509,INR,766,INR,1563,140670,12 %,157550.4,161770.5
661,Drill Machine,3,tons,XYZ,708,INR,914,INR,1941,5823,12 %,6521.76,6696.45
662,Drill Machine,25,tons,MNO,911,INR,609,INR,1817,45425,12 %,50876.0,52238.75
663,TITAN 25mm wrench,44,each,MKT,515,INR,967,INR,1909,83996,12 %,94075.52,96595.4
664,Drill Machine,98,litres,AKZ,807,INR,667,INR,1771,173558,12 %,194384.96,199591.7
665,TITAN 25mm wrench,43,crystals,MKT,796,INR,525,INR,1484,63812,12 %,71469.44,73383.8
666,LED Panel 250,85,crystals,MNO,530,INR,850,INR,1756,149260,12 %,167171.2,171649.0
667,Air Pump,34,crystals,AKZ,845,INR,842,INR,2025,68850,12 %,77112.0,79177.5
668,Air Pump,54,tons,MKT,728,INR,787,INR,1629,87966,12 %,98521.92,101160.9
669,Air Pump,40,litres,MNO,707,INR,947,INR,2101,84040,12 %,94124.8,96646.0
670,Air Pump,92,tons,MNO,976,INR,699,INR,2059,189428,12 %,212159.36,217842.2
671,LED Panel 250,4,crystals,XYZ,988,INR,816,INR,2299,9196,12 %,10299.52,10575.4
672,TITAN 25mm wrench,88,crystals,MNO,878,INR,923,INR,2124,186912,12 %,209341.44,214948.8
673,SPARX 12V motor,81,crystals,XYZ,813,INR,700,INR,1789,144909,12 %,162298.08,166645.35
674,Air Pump,27,tons,XYZ,552,INR,584,INR,1514,40878,12 %,45783.36,47009.7
675,Air Pump,29,litres,MKT,744,INR,589,INR,1684,48836,12 %,54696.32,56161.4
676,TITAN 25mm wrench,44,each,ABC,639,INR,942,INR,1890,83160,12 %,93139.2,95634.0
677,SPARX 12V motor,67,litres,AKZ,650,INR,715,INR,1757,117719,12 %,131845.28,135376.85
678,Air Pump,71,crystals,ABC,749,INR,692,INR,1564,111044,12 %,124369.28,127700.6
679,Air Pump,4,crystals,ABC,833,INR,733,INR,1751,7004,12 %,7844.48,8054.6
680,LED Panel 250,97,litres,XYZ,656,INR,938,INR,1930,187210,12 %,209675.2,215291.5
681,TITAN 25mm wrench,80,litres,MNO,800,INR,538,INR,1748,139840,12 %,156620.8,160816.0
682,Drill Machine,61,tons,XYZ,887,INR,522,INR,1744,106384,12 %,119150.08,122341.6
683,TITAN 25mm wrench,58,tons,MNO,654,INR,748,INR,1880,109040,12 %,122124.8,125396.0
684,LED Panel 250,98,litres,ABC,585,INR,979,INR,1953,191394,12 %,214361.28,220103.1
685,SPARX 12V motor,66,tons,ABC,908,INR,758,INR,1829,120714,12 %,135199.68,138821.1
686,SPARX 12V motor,58,litres,AKZ,871,INR,986,INR,2347,136126,12 %,152461.12,156544.9
687,Air Pump,5,crystals,ABC,564,INR,791,INR,1464,7320,12 %,8198.4,8418.0
688,SPARX 12V motor,50,tons,MNO,783,INR,788,INR,1745,87250,12 %,97720.0,100337.5
689,SPARX 12V motor,53,litres,XYZ,909,INR,670,INR,1749,92697,12 %,103820.64,106601.55
690,Air Pump,24,each,MNO,879,INR,676,INR,1931,46344,12 %,51905.28,53295.6
691,Air Pump,92,tons,AKZ,769,INR,746,INR,1833,168636,12 %,188872.32,193931.4
692,TITAN 25mm wrench,3,tons,MKT,644,INR,884,INR,1954,5862,12 %,6565.44,6741.3
693,Drill Machine,67,crystals,MKT,612,INR,814,INR,1773,118791,12 %,133045.92,136609.65
694,Drill Machine,37,each,ABC,957,INR,861,INR,2035,75295,12 %,84330.4,86589.25
695,LED Panel 250,22,each,MNO,805,INR,772,INR,1842,40524,12 %,45386.88,46602.6
696,TITAN 25mm wrench,24,crystals,MKT,642,INR,702,INR,1698,40752,12 %,45642.24,46864.8
697,Drill Machine,68,each,AKZ,638,INR,915,INR,1664,113152,12 %,126730.24,130124.8
698,SPARX 12V motor,56,each,MKT,810,INR,1000,INR,2103,117768,12 %,131900.16,135433.2
699,LED Panel 250,61,each,MNO,880,INR,635,INR,1792,109312,12 %,122429.44,125708.8
700,LED Panel 250,64,each,MKT,563,INR,809,INR,1592,101888,12 %,114114.56,117171.2
701,LED Panel 250,22,crystals,MNO,639,INR,782,INR,1894,41668,12 %,46668.16,47918.2
702,TITAN 25mm wrench,10,litres,AKZ,832,INR,598,INR,1531,15310,12 %,17147.2,17606.5
703,Air Pump,81,tons,XYZ,792,INR,850,INR,2035,164835,12 %,184615.2,189560.25
704,TITAN 25mm wrench,29,each,MNO,925,INR,999,INR,2313,67077,12 %,75126.24,77138.55
705,TITAN 25mm wrench,70,each,XYZ,525,INR,763,INR,1652,115640,12 %,129516.8,132986.0
706,Drill Machine,61,litres,MKT,624,INR,645,INR,1467,89487,12 %,100225.44,102910.05
707,LED Panel 250,19,tons,XYZ,900,INR,969,INR,2295,43605,12 %,48837.6,50145.75
708,Drill Machine,35,crystals,AKZ,785,INR,575,INR,1495,52325,12 %,58604.0,60173.75
709,SPARX 12V motor,55,crystals,ABC,539,INR,799,INR,1653,90915,12 %,101824.8,104552.25
710,SPARX 12V motor,49,crystals,MNO,564,INR,963,INR,1925,94325,12 %,105644.0,108473.75
711,LED Panel 250,77,tons,ABC,884,INR,933,INR,2230,171710,12 %,192315.2,197466.5
712,SPARX 12V motor,15,each,MNO,780,INR,631,INR,1894,28410,12 %,31819.2,32671.5
713,LED Panel 250,16,litres,MKT,566,INR,975,INR,1641,26256,12 %,29406.72,30194.4
714,LED Panel 250,76,crystals,XYZ,587,INR,507,INR,1472,111872,12 %,125296.64,128652.8
715,LED Panel 250,10,litres,XYZ,515,INR,995,INR,1723,17230,12 %,19297.6,19814.5
716,LED Panel 250,53,each,AKZ,809,INR,786,INR,1790,94870,12 %,106254.4,109100.5
717,LED Panel 250,30,crystals,XYZ,700,INR,940,INR,2028,60840,12 %,68140.8,69966.0
718,Air Pump,74,tons,AKZ,585,INR,538,INR,1410,104340,12 %,116860.8,119991.0
719,Drill Machine,60,litres,ABC,773,INR,636,INR,1548,92880,12 %,104025.6,106812.0
720,LED Panel 250,27,crystals,MNO,531,INR,590,INR,1351,36477,12 %,40854.24,41948.55
721,Drill Machine,91,litres,MKT,731,INR,825,INR,2045,186095,12 %,208426.4,214009.25
722,LED Panel 250,46,crystals,AKZ,912,INR,588,INR,1769,81374,12 %,91138.88,93580.1
723,Air Pump,27,crystals,XYZ,970,INR,731,INR,1908,51516,12 %,57697.92,59243.4
724,Drill Machine,81,crystals,MNO,604,INR,661,INR,1551,125631,12 %,140706.72,144475.65
725,Drill Machine,2,litres,XYZ,792,INR,735,INR,1829,3658,12 %,4096.96,4206.7
726,Air Pump,72,tons,MNO,930,INR,831,INR,2253,162216,12 %,181681.92,186548.4
727,SPARX 12V motor,24,each,MKT,852,INR,735,INR,1938,46512,12 %,52093.44,53488.8
728,LED Panel 250,64,each,MNO,530,INR,719,INR,1440,92160,12 %,103219.2,105984.0
729,TITAN 25mm wrench,44,tons,ABC,623,INR,681,INR,1761,77484,12 %,86782.08,89106.6
730,LED Panel 250,91,litres,XYZ,593,INR,594,INR,1514,137774,12 %,154306.88,158440.1
731,Air Pump,83,each,MNO,652,INR,651,INR,1554,128982,12 %,144459.84,148329.3
732,LED Panel 250,44,litres,XYZ,645,INR,870,INR,1950,85800,12 %,96096.0,98670.0
733,SPARX 12V motor,32,crystals,ABC,564,INR,605,INR,1501,48032,12 %,53795.84,55236.8
734,LED Panel 250,39,crystals,AKZ,510,INR,931,INR,1793,69927,12 %,78318.24,80416.05
735,LED Panel 250,63,each,AKZ,984,INR,792,INR,2256,142128,12 %,159183.36,163447.2
736,LED Panel 250,99,each,XYZ,988,INR,956,INR,2424,239976,12 %,268773.12,275972.4
737,Drill Machine,65,litres,ABC,694,INR,955,INR,1900,123500,12 %,138320.0,142025.0
738,Air Pump,64,crystals,MKT,796,INR,832,INR,1749,111936,12 %,125368.32,128726.4
739,Drill Machine,81,each,MKT,604,INR,624,INR,1338,108378,12 %,121383.36,124634.7
740,Air Pump,36,each,ABC,628,INR,753,INR,1671,60156,12 %,67374.72,69179.4
741,Air Pump,48,each,MNO,593,INR,882,INR,1878,90144,12 %,100961.28,103665.6
742,SPARX 12V motor,75,crystals,MNO,635,INR,879,INR,1838,137850,12 %,154392.0,158527.5
743,TITAN 25mm wrench,50,each,XYZ,853,INR,774,INR,1901,95050,12 %,106456.0,109307.5
744,LED Panel 250,18,each,MNO,656,INR,705,INR,1636,29448,12 %,32981.76,33865.2
745,Air Pump,50,crystals,ABC,987,INR,961,INR,2181,109050,12 %,122136.0,125407.5
746,Drill Machine,49,each,AKZ,680,INR,550,INR,1389,68061,12 %,76228.32,78270.15
747,Air Pump,86,each,ABC,591,INR,500,INR,1545,132870,12 %,148814.4,152800.5
748,TITAN 25mm wrench,97,each,XYZ,948,INR,779,INR,1877,182069,12 %,203917.28,209379.35
749,Drill Machine,85,litres,ABC,806,INR,762,INR,1709,145265,12 %,162696.8,167054.75
750,LED Panel 250,40,tons,MNO,502,INR,847,INR,1614,64560,12 %,72307.2,74244.0
751,Drill Machine,25,crystals,MKT,834,INR,718,INR,2005,50125,12 %,56140.0,57643.75
752,SPARX 12V motor,32,litres,AKZ,959,INR,570,INR,1888,60416,12 %,67665.92,69478.4
753,Air Pump,65,litres,AKZ,551,INR,706,INR,1687,109655,12 %,122813.6,126103.25
754,Air Pump,50,tons,AKZ,987,INR,866,INR,2023,101150,12 %,113288.0,116322.5
755,LED Panel 250,73,crystals,ABC,844,INR,550,INR,1506,109938,12 %,123130.56,126428.7
756,TITAN 25mm wrench,54,litres,MNO,700,INR,700,INR,1684,90936,12 %,101848.32,104576.4
757,TITAN 25mm wrench,39,litres,AKZ,870,INR,602,INR,1798,70122,12 %,78536.64,80640.3
758,TITAN 25mm wrench,75,tons,XYZ,620,INR,754,INR,1842,138150,12 %,154728.0,158872.5
759,Air Pump,59,crystals,MNO,561,INR,697,INR,1486,87674,12 %,98194.88,100825.1
760,LED Panel 250,49,each,MNO,570,INR,776,INR,1763,86387,12 %,96753.44,99345.05
761,SPARX 12V motor,82,litres,XYZ,697,INR,507,INR,1387,113734,12 %,127382.08,130794.1
762,SPARX 12V motor,34,each,MKT,771,INR,981,INR,1895,64430,12 %,72161.6,74094.5
763,Drill Machine,45,each,AKZ,623,INR,546,INR,1669,75105,12 %,84117.6,86370.75
764,LED Panel 250,33,crystals,MKT,662,INR,807,INR,1905,62865,12 %,70408.8,72294.75
765,LED Panel 250,63,tons,AKZ,944,INR,556,INR,1678,105714,12 %,118399.68,121571.1
766,TITAN 25mm wrench,7,each,ABC,728,INR,991,INR,1891,13237,12 %,14825.44,15222.55
767,LED Panel 250,70,tons,XYZ,962,INR,726,INR,1913,133910,12 %,149979.2,153996.5
768,SPARX 12V motor,59,each,MKT,557,INR,584,INR,1305,76995,12 %,86234.4,88544.25
769,Drill Machine,62,each,XYZ,740,INR,675,INR,1629,100998,12 %,113117.76,116147.7
770,TITAN 25mm wrench,31,each,MNO,704,INR,594,INR,1671,51801,12 %,58017.12,59571.15
771,SPARX 12V motor,37,tons,ABC,591,INR,613,INR,1691,62567,12 %,70075.04,71952.05
772,TITAN 25mm wrench,20,each,MKT,926,INR,712,INR,1771,35420,12 %,39670.4,40733.0
773,Air Pump,27,crystals,AKZ,698,INR,674,INR,1645,44415,12 %,49744.8,51077.25
774,TITAN 25mm wrench,87,crystals,XYZ,951,INR,891,INR,2175,189225,12 %,211932.0,217608.75
775,Drill Machine,56,litres,XYZ,783,INR,930,INR,1912,107072,12 %,119920.64,123132.8
776,Air Pump,33,litres,MKT,730,INR,659,INR,1698,56034,12 %,62758.08,64439.1
777,SPARX 12V motor,60,crystals,MKT,721,INR,926,INR,2006,120360,12 %,134803.2,138414.0
778,LED Panel 250,51,each,XYZ,598,INR,513,INR,1538,78438,12 %,87850.56,90203.7
779,Air Pump,30,litres,XYZ,959,INR,632,INR,1776,53280,12 %,59673.6,61272.0
780,LED Panel 250,29,tons,MKT,512,INR,688,INR,1403,40687,12 %,45569.44,46790.05
781,LED Panel 250,6,crystals,MKT,777,INR,847,INR,1854,11124,12 %,12458.88,12792.6
782,TITAN 25mm wrench,63,litres,AKZ,532,INR,517,INR,1237,77931,12 %,87282.72,89620.65
783,SPARX 12V motor,81,tons,ABC,561,INR,687,INR,1443,116883,12 %,130908.96,134415.45
784,TITAN 25mm wrench,5,each,AKZ,537,INR,508,INR,1543,7715,12 %,8640.8,8872.25
785,LED Panel 250,39,each,MNO,577,INR,745,INR,1588,61932,12 %,69363.84,71221.8
786,TITAN 25mm wrench,24,each,XYZ,968,INR,894,INR,2134,51216,12 %,57361.92,58898.4
787,SPARX 12V motor,76,tons,AKZ,587,INR,685,INR,1621,123196,12 %,137979.52,141675.4
788,TITAN 25mm wrench,91,tons,XYZ,619,INR,758,INR,1545,140595,12 %,157466.4,161684.25
789,Air Pump,19,crystals,ABC,878,INR,787,INR,1924,36556,12 %,40942.72,42039.4
790,LED Panel 250,100,each,MKT,953,INR,595,INR,1938,193800,12 %,217056.0,222870.0
791,LED Panel 250,88,litres,MKT,594,INR,743,INR,1705,150040,12 %,168044.8,172546.0
792,LED Panel 250,41,each,AKZ,889,INR,666,INR,1837,75317,12 %,84355.04,86614.55
793,LED Panel 250,46,litres,XYZ,508,INR,504,INR,1147,52762,12 %,59093.44,60676.3
794,Air Pump,56,each,ABC,898,INR,813,INR,1988,111328,12 %,124687.36,128027.2
795,TITAN 25mm wrench,16,litres,XYZ,899,INR,794,INR,2062,32992,12 %,36951.04,37940.8
796,LED Panel 250,41,litres,MNO,516,INR,859,INR,1680,68880,12 %,77145.6,79212.0
797,SPARX 12V motor,24,litres,ABC,566,INR,527,INR,1413,33912,12 %,37981.44,38998.8
798,LED Panel 250,87,crystals,XYZ,558,INR,570,INR,1248,108576,12 %,121605.12,124862.4
799,TITAN 25mm wrench,27,each,XYZ,955,INR,618,INR,2013,54351,12 %,60873.12,62503.65
800,Air Pump,74,litres,XYZ,657,INR,835,INR,1737,128538,12 %,143962.56,147818.7
801,LED Panel 250,99,each,MNO,772,INR,768,INR,1966,194634,12 %,217990.08,223829.1
802,SPARX 12V motor,60,crystals,ABC,675,INR,889,INR,1964,117840,12 %,131980.8,135516.0
803,Drill Machine,96,crystals,ABC,665,INR,663,INR,1808,173568,12 %,194396.16,199603.2
804,TITAN 25mm wrench,13,each,MKT,971,INR,696,INR,2151,27963,12 %,31318.56,32157.45
805,SPARX 12V motor,80,litres,XYZ,624,INR,962,INR,1880,150400,12 %,168448.0,172960.0
806,TITAN 25mm wrench,7,each,MKT,905,INR,866,INR,2226,15582,12 %,17451.84,17919.3
807,SPARX 12V motor,68,each,XYZ,775,INR,778,INR,1708,116144,12 %,130081.28,133565.6
808,TITAN 25mm wrench,49,crystals,AKZ,942,INR,908,INR,2149,105301,12 %,117937.12,121096.15
809,Drill Machine,36,litres,ABC,850,INR,879,INR,2211,79596,12 %,89147.52,91535.4
810,Air Pump,25,crystals,AKZ,987,INR,583,INR,1856,46400,12 %,51968.0,53360.0
811,SPARX 12V motor,50,each,MNO,522,INR,757,INR,1478,73900,12 %,82768.0,84985.0
812,SPARX 12V motor,65,each,MKT,598,INR,739,INR,1806,117390,12 %,131476.8,134998.5
813,LED Panel 250,18,each,MKT,902,INR,562,INR,1613,29034,12 %,32518.08,33389.1
814,Drill Machine,98,litres,MNO,767,INR,629,INR,1575,154350,12 %,172872.0,177502.5
815,Air Pump,100,litres,AKZ,711,INR,829,INR,1660,166000,12 %,185920.0,190900.0
816,Drill Machine,61,litres,XYZ,589,INR,691,INR,1551,94611,12 %,105964.32,108802.65
817,LED Panel 250,21,each,MNO,988,INR,741,INR,1851,38871,12 %,43535.52,44701.65
818,Air Pump,55,each,XYZ,862,INR,917,INR,2220,122100,12 %,136752.0,140415.0
819,Drill Machine,55,litres,MKT,569,INR,875,INR,1842,101310,12 %,113467.2,116506.5
820,TITAN 25mm wrench,65,litres,MKT,752,INR,548,INR,1430,92950,12 %,104104.0,106892.5
821,Air Pump,17,litres,ABC,852,INR,510,INR,1800,30600,12 %,34272.0,35190.0
822,Air Pump,12,litres,MKT,567,INR,509,INR,1328,15936,12 %,17848.32,18326.4
823,Drill Machine,26,each,MNO,730,INR,583,INR,1761,45786,12 %,51280.32,52653.9
824,LED Panel 250,37,tons,AKZ,763,INR,819,INR,1979,73223,12 %,82009.76,84206.45
825,Air Pump,4,litres,AKZ,780,INR,765,INR,1910,7640,12 %,8556.8,8786.0
826,Air Pump,57,crystals,XYZ,934,INR,656,INR,1855,105735,12 %,118423.2,121595.25
827,LED Panel 250,90,crystals,MKT,990,INR,613,INR,2025,182250,12 %,204120.0,209587.5
828,Drill Machine,72,litres,MNO,738,INR,935,INR,1777,127944,12 %,143297.28,147135.6
829,Air Pump,50,litres,ABC,594,INR,737,INR,1811,90550,12 %,101416.0,104132.5
830,LED Panel 250,79,litres,MNO,770,INR,638,INR,1658,130982,12 %,146699.84,150629.3
831,SPARX 12V motor,39,each,ABC,750,INR,764,INR,1641,63999,12 %,71678.88,73598.85
